OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime
3611,30,Good,PM2.5,2,Ragweed,Slight,2012/10/16 05:00:00+00
3612,33,Good,Ozone 8-hr,3,Ragweed,Slight,2012/10/15 05:00:00+00
3613,35,Good,PM2.5,,,Not on file,2012/10/14 05:00:00+00
3614,33,Good,PM2.5,,,Not on file,2012/10/13 05:00:00+00
3615,29,Good,Ozone 8-hr,1,Ragweed,Slight,2012/10/12 05:00:00+00
3616,26,Good,PM2.5,2,Elm, Grass,2012/10/11 05:00:00+00
3617,34,Good,Ozone 8-hr,3,Elm, Grass,2012/10/10 05:00:00+00
3618,30,Good,PM2.5,3,Elm, Grass,2012/10/09 05:00:00+00
3619,25,Good,Ozone 8-hr,3,Elm, Grass,2012/10/08 05:00:00+00
3620,25,Good,Ozone 8-hr,,,Not on file,2012/10/07 05:00:00+00
3621,53,Moderate,PM2.5,,,Not on file,2012/10/06 05:00:00+00
3622,46,Good,PM2.5,5,Elm, Grass,2012/10/05 05:00:00+00
3623,38,Good,Ozone 8-hr,5,Elm, Grass,2012/10/04 05:00:00+00
3624,28,Good,PM2.5,5,Elm, Grass,2012/10/03 05:00:00+00
3625,25,Good,Ozone 8-hr,3,Elm, Grass,2012/10/02 05:00:00+00
3626,55,Moderate,PM2.5,0,Elm, Grass,2012/10/01 05:00:00+00
3627,43,Good,PM2.5,,,Not on file,2012/09/30 05:00:00+00
3628,52,Moderate,PM2.5,,,Not on file,2012/09/29 05:00:00+00
3629,46,Good,PM2.5,6,Elm, Grass,2012/09/28 05:00:00+00
3630,52,Moderate,PM2.5,6,Elm, Grass,2012/09/27 05:00:00+00
3631,48,Good,Ozone 8-hr,7,Elm, Grass,2012/09/26 05:00:00+00
3632,40,Good,Ozone 8-hr,7,Elm, Grass,2012/09/25 05:00:00+00
3633,31,Good,Ozone 8-hr,6,Elm, Grass,2012/09/24 05:00:00+00
3634,36,Good,Ozone 8-hr,,,Not on file,2012/09/23 05:00:00+00
3635,39,Good,Ozone 8-hr,,,Not on file,2012/09/22 05:00:00+00
3636,36,Good,Ozone 8-hr,8,Elm, Grass,2012/09/21 05:00:00+00
3637,33,Good,Ozone 8-hr,7,Grass, Ragweed,2012/09/20 05:00:00+00
3638,23,Good,Ozone 8-hr,8,Grass, Ragweed,2012/09/19 05:00:00+00
3639,10,Good,Ozone 8-hr,0,Grass, Ragweed,2012/09/18 05:00:00+00
3640,37,Good,Ozone 8-hr,0,Grass, Ragweed,2012/09/17 05:00:00+00
3641,39,Good,Ozone 8-hr,,,Not on file,2012/09/16 05:00:00+00
3642,48,Good,Ozone 8-hr,,,Not on file,2012/09/15 05:00:00+00
3643,48,Good,Ozone 8-hr,8,Grass, Ragweed,2012/09/14 05:00:00+00
3644,49,Good,Ozone 8-hr,9,Grass, Ragweed,2012/09/13 05:00:00+00
3645,45,Good,Ozone 8-hr,9,Grass, Ragweed,2012/09/12 05:00:00+00
3646,38,Good,Ozone 8-hr,9,Grass, Ragweed,2012/09/11 05:00:00+00
3647,34,Good,Ozone 8-hr,9,Grass, Ragweed,2012/09/10 05:00:00+00
3648,31,Good,Ozone 8-hr,,,Not on file,2012/09/09 05:00:00+00
3649,47,Good,Ozone 8-hr,,,Not on file,2012/09/08 05:00:00+00
3650,61,Moderate,Ozone 8-hr,10,Grass, Ragweed,2012/09/07 05:00:00+00
3651,40,Good,Ozone 8-hr,10,Grass, Ragweed,2012/09/06 05:00:00+00
3652,32,Good,Ozone 8-hr,10,Grass, Ragweed,2012/09/05 05:00:00+00
3653,23,Good,Ozone 8-hr,8,Grass, Ragweed,2012/09/04 05:00:00+00
3654,22,Good,Ozone 8-hr,,,Not on file,2012/09/03 05:00:00+00
3655,24,Good,Ozone 8-hr,,,Not on file,2012/09/02 05:00:00+00
3656,21,Good,Ozone 8-hr,,,Not on file,2012/09/01 05:00:00+00
3657,26,Good,Ozone 8-hr,,,Not on file,2012/08/31 05:00:00+00
3658,42,Good,Ozone 8-hr,13,Grass, Ragweed,2012/08/30 05:00:00+00
3659,36,Good,Ozone 8-hr,7,Grass, Ragweed,2012/08/29 05:00:00+00
3660,84,Moderate,Ozone 8-hr,8,Grass, Ragweed,2012/08/28 05:00:00+00
3661,40,Good,Ozone 8-hr,11,Grass, Ragweed,2012/08/27 05:00:00+00
3662,40,Good,Ozone 8-hr,9,Grass, Ragweed,2012/08/26 05:00:00+00
3663,100,Moderate,Ozone 8-hr,,,Not on file,2012/08/25 05:00:00+00
3664,93,Moderate,Ozone 8-hr,,,Not on file,2012/08/24 05:00:00+00
3665,90,Moderate,Ozone 8-hr,8,Grass, Ragweed,2012/08/23 05:00:00+00
3666,50,Good,Ozone 8-hr,9,Grass, Ragweed,2012/08/22 05:00:00+00
3667,49,Good,Ozone 8-hr,17,Grass, Ragweed,2012/08/21 05:00:00+00
3668,46,Good,Ozone 8-hr,9,Grass, Ragweed,2012/08/20 05:00:00+00
3669,44,Good,Ozone 8-hr,6,Grass, Ragweed,2012/08/19 05:00:00+00
3670,28,Good,Ozone 8-hr,,,Not on file,2012/08/18 05:00:00+00
3671,58,Moderate,Ozone 8-hr,,,Not on file,2012/08/17 05:00:00+00
3672,74,Moderate,Ozone 8-hr,6,Grass, Ragweed,2012/08/16 05:00:00+00
3673,39,Good,Ozone 8-hr,3,Grass,Slight,2012/08/15 05:00:00+00
3674,34,Good,Ozone 8-hr,7,Grass,Moderate,2012/08/14 05:00:00+00
3675,61,Moderate,Ozone 8-hr,13,Grass,Moderate,2012/08/13 05:00:00+00
3676,40,Good,Ozone 8-hr,,,Not on file,2012/08/12 05:00:00+00
3677,41,Good,Ozone 8-hr,,,Not on file,2012/08/11 05:00:00+00
3678,44,Good,Ozone 8-hr,5,Grass,Slight,2012/08/10 05:00:00+00
3679,140,Unhealthy for Sensitive Groups,Ozone 8-hr,1,Grass,Slight,2012/08/09 05:00:00+00
3680,50,Good,Ozone 8-hr,2,Grass,Slight,2012/08/08 05:00:00+00
3681,47,Good,Ozone 8-hr,4,Grass,Slight,2012/08/07 05:00:00+00
3682,35,Good,PM2.5,5,Grass,Slight,2012/08/06 05:00:00+00
3683,37,Good,PM2.5,,,Not on file,2012/08/05 05:00:00+00
3684,48,Good,PM2.5,,,Not on file,2012/08/04 05:00:00+00
3685,90,Moderate,Ozone 8-hr,1,Grass,Slight,2012/08/03 05:00:00+00
3686,93,Moderate,Ozone 8-hr,2,Grass,Slight,2012/08/02 05:00:00+00
3687,48,Good,Ozone 8-hr,10,Grass,Moderate,2012/08/01 05:00:00+00
3688,47,Good,Ozone 8-hr,10,Grass,Moderate,2012/07/31 05:00:00+00
3689,46,Good,Ozone 8-hr,5,Grass,Slight,2012/07/30 05:00:00+00
3690,58,Moderate,Ozone 8-hr,,,Not on file,2012/07/29 05:00:00+00
3691,97,Moderate,Ozone 8-hr,,,Not on file,2012/07/28 05:00:00+00
3692,38,Good,PM2.5,13,Grass, Ragweed,2012/07/27 05:00:00+00
3693,53,Moderate,PM2.5,17,Grass, Ragweed,2012/07/26 05:00:00+00
3694,53,Moderate,PM2.5,9,Grass, Ragweed,2012/07/25 05:00:00+00
3695,50,Good,PM2.5,3,Grass, Ragweed,2012/07/24 05:00:00+00
3696,33,Good,PM2.5,2,Grass, Ragweed,2012/07/23 05:00:00+00
3697,57,Moderate,PM2.5,,,Not on file,2012/07/22 05:00:00+00
3698,45,Good,Ozone 8-hr,,,Not on file,2012/07/21 05:00:00+00
3699,44,Good,Ozone 8-hr,1,Grass,Slight,2012/07/20 05:00:00+00
3700,42,Good,Ozone 8-hr,3,Grass,Slight,2012/07/19 05:00:00+00
3701,40,Good,PM2.5,1,Grass,Slight,2012/07/18 05:00:00+00
3702,44,Good,PM2.5,2,, Grass,2012/07/17 05:00:00+00
3703,31,Good,PM2.5,2,Grass,Slight,2012/07/16 05:00:00+00
3704,28,Good,PM2.5,,,Not on file,2012/07/15 05:00:00+00
3705,38,Good,PM2.5,,,Not on file,2012/07/14 05:00:00+00
3706,25,Good,Ozone 8-hr,1,Grass,Slight,2012/07/13 05:00:00+00
3707,36,Good,Ozone 8-hr,1,Grass,Slight,2012/07/12 05:00:00+00
3708,39,Good,Ozone 8-hr,1,Grass,Slight,2012/07/11 05:00:00+00
3709,80,Moderate,Ozone 8-hr,1,Grass,Slight,2012/07/10 05:00:00+00
3710,71,Moderate,Ozone 8-hr,2,Grass,Slight,2012/07/09 05:00:00+00
3711,116,Unhealthy for Sensitive Groups,Ozone 8-hr,,,Not on file,2012/07/08 05:00:00+00
3712,101,Unhealthy for Sensitive Groups,Ozone 8-hr,,,Not on file,2012/07/07 05:00:00+00
3713,87,Moderate,Ozone 8-hr,3,Grass,Slight,2012/07/06 05:00:00+00
3714,82,Moderate,PM2.5,3,Grass,Slight,2012/07/05 05:00:00+00
3715,72,Moderate,PM2.5,,,Not on file,2012/07/04 05:00:00+00
3716,50,Good,PM2.5,2,Grass,Slight,2012/07/03 05:00:00+00
3717,80,Moderate,Ozone 8-hr,2,Grass,Slight,2012/07/02 05:00:00+00
3718,97,Moderate,Ozone 8-hr,1,Grass,Slight,2012/07/01 05:00:00+00
3719,145,Unhealthy for Sensitive Groups,Ozone 8-hr,,,Not on file,2012/06/30 05:00:00+00
3720,124,Unhealthy for Sensitive Groups,Ozone 8-hr,2,Grass,Slight,2012/06/29 05:00:00+00
3721,114,Unhealthy for Sensitive Groups,Ozone 8-hr,5,Grass,Slight,2012/06/28 05:00:00+00
3722,71,Moderate,Ozone 8-hr,5,Grass,Slight,2012/06/27 05:00:00+00
3723,87,Moderate,Ozone 8-hr,5,Grass,Slight,2012/06/26 05:00:00+00
3724,77,Moderate,Ozone 8-hr,2,Grass,Slight,2012/06/25 05:00:00+00
3725,71,Moderate,Ozone 8-hr,,,Not on file,2012/06/24 05:00:00+00
3726,48,Good,Ozone 8-hr,,,Not on file,2012/06/23 05:00:00+00
3727,61,Moderate,Ozone 8-hr,5,Grass,Slight,2012/06/22 05:00:00+00
3728,50,Good,Ozone 8-hr,5,Grass, Poplar,2012/06/21 05:00:00+00
3729,42,Good,Ozone 8-hr,13,Grass, Poplar,2012/06/20 05:00:00+00
3730,36,Good,Ozone 8-hr,13,Grass, Poplar,2012/06/19 05:00:00+00
3731,47,Good,PM2.5,7,Grass, Poplar,2012/06/18 05:00:00+00
3732,44,Good,Ozone 8-hr,,,Not on file,2012/06/17 05:00:00+00
3733,52,Moderate,PM2.5,,,Not on file,2012/06/16 05:00:00+00
3734,97,Moderate,Ozone 8-hr,7,Cedar, Grass,2012/06/15 05:00:00+00
3735,77,Moderate,Ozone 8-hr,8,Cedar, Grass,2012/06/14 05:00:00+00
3736,43,Good,Ozone 8-hr,6,Cedar, Grass,2012/06/13 05:00:00+00
3737,31,Good,Ozone 8-hr,6,Cedar, Grass,2012/06/12 05:00:00+00
3738,38,Good,Ozone 8-hr,3,Cedar, Grass,2012/06/11 05:00:00+00
3739,49,Good,Ozone 8-hr,,,Not on file,2012/06/10 05:00:00+00
3740,51,Moderate,Ozone 8-hr,,,Not on file,2012/06/09 05:00:00+00
3741,44,Good,Ozone 8-hr,5,Grass, Maple,2012/06/08 05:00:00+00
3742,41,Good,Ozone 8-hr,11,Grass, Maple,2012/06/07 05:00:00+00
3743,42,Good,Ozone 8-hr,15,Grass, Maple,2012/06/06 05:00:00+00
3744,64,Moderate,Ozone 8-hr,7,Grass, Maple,2012/06/05 05:00:00+00
3745,50,Good,Ozone 8-hr,4,Grass, Maple,2012/06/04 05:00:00+00
3746,43,Good,Ozone 8-hr,,,Not on file,2012/06/03 05:00:00+00
3747,34,Good,Ozone 8-hr,,,Not on file,2012/06/02 05:00:00+00
3748,64,Moderate,Ozone 8-hr,6,Grass, Maple,2012/06/01 05:00:00+00
3749,80,Moderate,Ozone 8-hr,1,Cedar, Grass,2012/05/31 05:00:00+00
3750,54,Moderate,Ozone 8-hr,1,Cedar, Grass,2012/05/30 05:00:00+00
3751,50,Good,PM2.5,2,Cedar, Grass,2012/05/29 05:00:00+00
3752,74,Moderate,Ozone 8-hr,,,Not on file,2012/05/28 05:00:00+00
3753,71,Moderate,Ozone 8-hr,,,Not on file,2012/05/27 05:00:00+00
3754,59,Moderate,PM2.5,,,Not on file,2012/05/26 05:00:00+00
3755,67,Moderate,Ozone 8-hr,4,Grass, Maple,2012/05/25 05:00:00+00
3756,87,Moderate,Ozone 8-hr,4,Grass, Maple,2012/05/24 05:00:00+00
3757,47,Good,Ozone 8-hr,3,Grass, Maple,2012/05/23 05:00:00+00
3758,47,Good,Ozone 8-hr,5,Grass, Maple,2012/05/22 05:00:00+00
3759,67,Moderate,Ozone 8-hr,6,Grass, Maple,2012/05/21 05:00:00+00
3760,57,Moderate,PM2.5,,,Not on file,2012/05/20 05:00:00+00
3761,101,Unhealthy for Sensitive Groups,Ozone 8-hr,,,Not on file,2012/05/19 05:00:00+00
3762,74,Moderate,Ozone 8-hr,8,Grass, Hickory,2012/05/18 05:00:00+00
3763,80,Moderate,Ozone 8-hr,8,Grass, Hickory,2012/05/17 05:00:00+00
3764,67,Moderate,Ozone 8-hr,19,Hickory, Oak,2012/05/16 05:00:00+00
3765,33,Good,Ozone 8-hr,18,Oak, Walnut,2012/05/15 05:00:00+00
3766,30,Good,Ozone 8-hr,5,Grass, Oak,2012/05/14 05:00:00+00
3767,50,Good,PM2.5,,,Not on file,2012/05/13 05:00:00+00
3768,47,Good,Ozone 8-hr,,,Not on file,2012/05/12 05:00:00+00
3769,45,Good,Ozone 8-hr,19,Maple, Mulberry,2012/05/11 05:00:00+00
3770,48,Good,Ozone 8-hr,27,Maple, Mulberry,2012/05/10 05:00:00+00
3771,37,Good,Ozone 8-hr,21,Maple, Mulberry,2012/05/09 05:00:00+00
3772,43,Good,Ozone 8-hr,21,Maple, Mulberry,2012/05/08 05:00:00+00
3773,58,Moderate,Ozone 8-hr,11,Maple, Mulberry,2012/05/07 05:00:00+00
3774,44,Good,Ozone 8-hr,,,Not on file,2012/05/06 05:00:00+00
3775,35,Good,PM2.5,,,Not on file,2012/05/05 05:00:00+00
3776,26,Good,Ozone 8-hr,9,Maple, Mulberry,2012/05/04 05:00:00+00
3777,48,Good,PM2.5,21,Birch, Maple,2012/05/03 05:00:00+00
3778,44,Good,PM2.5,65,Birch, Grass,2012/05/02 05:00:00+00
3779,40,Good,PM2.5,77,Birch, Grass,2012/05/01 05:00:00+00
3780,46,Good,PM2.5,68,Cedar, Grass,2012/04/30 05:00:00+00
3781,42,Good,PM2.5,,,Not on file,2012/04/29 05:00:00+00
3782,38,Good,Ozone 8-hr,,,Not on file,2012/04/28 05:00:00+00
3783,51,Moderate,PM2.5,53,Cedar, Grass,2012/04/27 05:00:00+00
3784,50,Good,Ozone 8-hr,114,Cedar, Grass,2012/04/26 05:00:00+00
3785,39,Good,Ozone 8-hr,39,Cedar, Grass,2012/04/25 05:00:00+00
3786,39,Good,Ozone 8-hr,39,Cedar, Grass,2012/04/24 05:00:00+00
3787,38,Good,Ozone 8-hr,19,Cedar, Grass,2012/04/23 05:00:00+00
3788,26,Good,PM2.5,,,Not on file,2012/04/22 05:00:00+00
3789,40,Good,Ozone 8-hr,,,Not on file,2012/04/21 05:00:00+00
3790,47,Good,Ozone 8-hr,15,Birch, Mulberry,2012/04/20 05:00:00+00
3791,43,Good,Ozone 8-hr,20,Birch, Mulberry,2012/04/19 05:00:00+00
3792,25,Good,Ozone 8-hr,23,Birch, Mulberry,2012/04/18 05:00:00+00
3793,42,Good,Ozone 8-hr,27,Birch, Grass,2012/04/17 05:00:00+00
3794,47,Good,PM2.5,72,Birch, Grass,2012/04/16 05:00:00+00
3795,58,Moderate,Ozone 8-hr,,,Not on file,2012/04/15 05:00:00+00
3796,47,Good,Ozone 8-hr,,,Not on file,2012/04/14 05:00:00+00
3797,36,Good,Ozone 8-hr,19,Birch, Mulberry,2012/04/13 05:00:00+00
3798,36,Good,Ozone 8-hr,54,Grass, Maple,2012/04/12 05:00:00+00
3799,40,Good,Ozone 8-hr,73,Grass, Maple,2012/04/11 05:00:00+00
3800,44,Good,PM2.5,90,Grass, Maple,2012/04/10 05:00:00+00
3801,39,Good,Ozone 8-hr,71,Grass, Maple,2012/04/09 05:00:00+00
3802,48,Good,Ozone 8-hr,,,Not on file,2012/04/08 05:00:00+00
3803,40,Good,Ozone 8-hr,,,Not on file,2012/04/07 05:00:00+00
3804,28,Good,PM2.5,43,Elm, Grass,2012/04/06 05:00:00+00
3805,42,Good,Ozone 8-hr,113,Elm, Grass,2012/04/05 05:00:00+00
3806,40,Good,Ozone 8-hr,245,Elm, Grass,2012/04/04 05:00:00+00
3807,53,Moderate,PM2.5,226,Elm, Grass,2012/04/03 05:00:00+00
3808,48,Good,PM2.5,380,Cedar, Elm,2012/04/02 05:00:00+00
3809,43,Good,PM2.5,,,Not on file,2012/04/01 05:00:00+00
3810,48,Good,PM2.5,,,Not on file,2012/04/01 05:00:00+00
3811,46,Good,PM2.5,,,Not on file,2012/03/31 05:00:00+00
3812,58,Moderate,PM2.5,413,Cedar, Maple,2012/03/30 05:00:00+00
3813,62,Moderate,PM2.5,750,Cedar, Maple,2012/03/29 05:00:00+00
3814,45,Good,Ozone 8-hr,410,Cedar, Maple,2012/03/28 05:00:00+00
3815,39,Good,Ozone 8-hr,440,Cedar, Maple,2012/03/27 05:00:00+00
3816,44,Good,PM2.5,440,Cedar, Maple,2012/03/26 05:00:00+00
3817,36,Good,Ozone 8-hr,,,Not on file,2012/03/25 05:00:00+00
3818,40,Good,Ozone 8-hr,,,Not on file,2012/03/24 05:00:00+00
3819,38,Good,PM2.5,,Cedar, Maple,2012/03/23 05:00:00+00
3820,53,Moderate,PM2.5,390,Cedar, Maple,2012/03/22 05:00:00+00
3821,62,Moderate,PM2.5,307,Cedar, Maple,2012/03/21 05:00:00+00
3822,46,Good,PM2.5,383,Cedar, Maple,2012/03/20 05:00:00+00
3823,37,Good,Ozone 8-hr,333,Cedar, Maple,2012/03/19 05:00:00+00
3824,34,Good,PM2.5,,,Not on file,2012/03/18 05:00:00+00
3825,25,Good,Ozone 8-hr,,,Not on file,2012/03/17 05:00:00+00
3826,37,Good,PM2.5,350,Cedar, Grass,2012/03/16 05:00:00+00
3827,48,Good,PM2.5,259,Alder, Cedar,2012/03/15 05:00:00+00
3828,36,Good,Ozone 8-hr,161,Cedar, Maple,2012/03/14 05:00:00+00
3829,36,Good,PM2.5,77,Alder, Cedar,2012/03/13 05:00:00+00
3830,46,Good,PM2.5,18,Alder, Cedar,2012/03/12 05:00:00+00
3831,37,Good,Ozone 8-hr,,,Not on file,2012/03/11 06:00:00+00
3832,33,Good,Ozone 8-hr,,,Not on file,2012/03/10 06:00:00+00
3833,43,Good,PM2.5,5,Cedar, Maple,2012/03/09 06:00:00+00
3834,47,Good,PM2.5,44,Cedar, Maple,2012/03/08 06:00:00+00
3835,40,Good,Ozone 8-hr,29,Cedar, Maple,2012/03/07 06:00:00+00
3836,33,Good,Ozone 8-hr,9,Alder, Maple,2012/03/06 06:00:00+00
3837,35,Good,Ozone 8-hr,19,Alder, Maple,2012/03/05 06:00:00+00
3838,36,Good,Ozone 8-hr,,,Not on file,2012/03/04 06:00:00+00
3839,44,Good,PM2.5,,,Not on file,2012/03/03 06:00:00+00
3840,41,Good,Ozone 8-hr,41,Alder, Maple,2012/03/02 06:00:00+00
3841,32,Good,PM2.5,12,Alder, Maple,2012/03/01 06:00:00+00
3842,37,Good,PM2.5,,,Not on file,2012/02/29 06:00:00+00
3843,40,Good,PM2.5,,,Not on file,2012/02/28 06:00:00+00
3844,26,Good,PM2.5,,,Not on file,2012/02/27 06:00:00+00
3845,20,Good,PM2.5,,,Not on file,2012/02/26 06:00:00+00
3846,28,Good,PM2.5,,,Not on file,2012/02/25 06:00:00+00
3847,37,Good,PM2.5,,,Not on file,2012/02/24 06:00:00+00
3848,34,Good,PM2.5,,,Not on file,2012/02/23 06:00:00+00
3849,27,Good,PM2.5,,,Not on file,2012/02/22 06:00:00+00
3850,27,Good,PM2.5,,,Not on file,2012/02/21 06:00:00+00
3851,31,Good,PM2.5,,,Not on file,2012/02/20 06:00:00+00
3852,38,Good,PM2.5,,,Not on file,2012/02/19 06:00:00+00
3853,41,Good,PM2.5,,,Not on file,2012/02/18 06:00:00+00
3854,29,Good,PM2.5,,,Not on file,2012/02/17 06:00:00+00
3855,33,Good,PM2.5,,,Not on file,2012/02/16 06:00:00+00
3856,35,Good,PM2.5,,,Not on file,2012/02/15 06:00:00+00
3857,29,Good,PM2.5,,,Not on file,2012/02/14 06:00:00+00
3858,19,Good,PM2.5,,,Not on file,2012/02/13 06:00:00+00
3859,17,Good,PM2.5,,,Not on file,2012/02/12 06:00:00+00
3860,36,Good,PM2.5,,,Not on file,2012/02/11 06:00:00+00
3861,28,Good,PM2.5,,,Not on file,2012/02/10 06:00:00+00
3862,38,Good,PM2.5,,,Not on file,2012/02/09 06:00:00+00
3863,40,Good,PM2.5,,,Not on file,2012/02/08 06:00:00+00
3864,36,Good,PM2.5,,,Not on file,2012/02/07 06:00:00+00
3865,28,Good,PM2.5,,,Not on file,2012/02/06 06:00:00+00
3866,31,Good,PM2.5,,,Not on file,2012/02/05 06:00:00+00
3867,31,Good,PM2.5,,,Not on file,2012/02/04 06:00:00+00
3868,25,Good,PM2.5,,,Not on file,2012/02/03 06:00:00+00
3869,44,Good,PM2.5,,,Not on file,2012/02/02 06:00:00+00
3870,34,Good,PM2.5,,,Not on file,2012/02/01 06:00:00+00
3871,25,Good,PM2.5,,,Not on file,2012/01/31 06:00:00+00
3872,26,Good,PM2.5,,,Not on file,2012/01/30 06:00:00+00
3873,30,Good,PM2.5,,,Not on file,2012/01/29 06:00:00+00
3874,27,Good,PM2.5,,,Not on file,2012/01/28 06:00:00+00
3875,24,Good,PM2.5,,,Not on file,2012/01/27 06:00:00+00
3876,31,Good,PM2.5,,,Not on file,2012/01/26 06:00:00+00
3877,26,Good,PM2.5,,,Not on file,2012/01/25 06:00:00+00
3878,45,Good,PM2.5,,,Not on file,2012/01/24 06:00:00+00
3879,32,Good,PM2.5,,,Not on file,2012/01/23 06:00:00+00
3880,42,Good,PM2.5,,,Not on file,2012/01/22 06:00:00+00
3881,35,Good,PM2.5,,,Not on file,2012/01/21 06:00:00+00
3882,32,Good,PM2.5,,,Not on file,2012/01/20 06:00:00+00
3883,23,Good,PM2.5,,,Not on file,2012/01/19 06:00:00+00
3884,30,Good,PM2.5,,,Not on file,2012/01/18 06:00:00+00
3885,25,Good,PM2.5,,,Not on file,2012/01/17 06:00:00+00
3886,30,Good,PM2.5,,,Not on file,2012/01/16 06:00:00+00
3887,21,Good,PM2.5,,,Not on file,2012/01/15 06:00:00+00
3888,18,Good,PM2.5,,,Not on file,2012/01/14 06:00:00+00
3889,21,Good,PM2.5,,,Not on file,2012/01/13 06:00:00+00
3890,17,Good,PM2.5,,,Not on file,2012/01/12 06:00:00+00
3891,29,Good,PM2.5,,,Not on file,2012/01/11 06:00:00+00
3892,35,Good,PM2.5,,,Not on file,2012/01/10 06:00:00+00
3893,28,Good,PM2.5,,,Not on file,2012/01/09 06:00:00+00
3894,36,Good,PM2.5,,,Not on file,2012/01/08 06:00:00+00
3895,32,Good,PM2.5,,,Not on file,2012/01/07 06:00:00+00
3896,20,Good,PM10,,,Not on file,2012/01/06 06:00:00+00
3897,44,Good,PM10,,,Not on file,2012/01/05 06:00:00+00
3898,14,Good,PM2.5,,,Not on file,2012/01/04 06:00:00+00
3899,10,Good,PM2.5,,,Not on file,2012/01/03 06:00:00+00
3900,23,Good,PM2.5,,,Not on file,2012/01/02 06:00:00+00
3901,,Not on file,,,,Not on file,2012/01/01 06:00:00+00
3902,18,Good,PM2.5,,,Not on file,2012/01/01 06:00:00+00
3903,17,Good,PM2.5,,,Not on file,2011/12/31 06:00:00+00
3904,21,Good,PM2.5,,,Not on file,2011/12/30 06:00:00+00
3905,19,Good,PM2.5,,,Not on file,2011/12/29 06:00:00+00
3906,13,Good,PM2.5,,,Not on file,2011/12/28 06:00:00+00
3907,14,Good,PM2.5,,,Not on file,2011/12/27 06:00:00+00
3908,28,Good,PM2.5,,,Not on file,2011/12/26 06:00:00+00
3909,24,Good,PM2.5,,,Not on file,2011/12/25 06:00:00+00
3910,23,Good,PM2.5,,,Not on file,2011/12/24 06:00:00+00
3911,19,Good,PM2.5,,,Not on file,2011/12/23 06:00:00+00
3912,17,Good,PM2.5,,,Not on file,2011/12/22 06:00:00+00
3913,33,Good,PM2.5,,,Not on file,2011/12/21 06:00:00+00
3914,24,Good,PM2.5,,,Not on file,2011/12/20 06:00:00+00
3915,28,Good,PM2.5,,,Not on file,2011/12/19 06:00:00+00
3916,26,Good,PM2.5,,,Not on file,2011/12/18 06:00:00+00
3917,24,Good,PM2.5,,,Not on file,2011/12/17 06:00:00+00
3918,27,Good,PM2.5,,,Not on file,2011/12/16 06:00:00+00
3919,19,Good,PM2.5,,,Not on file,2011/12/15 06:00:00+00
3920,34,Good,PM2.5,,,Not on file,2011/12/14 06:00:00+00
3921,43,Good,PM2.5,,,Not on file,2011/12/13 06:00:00+00
3922,28,Good,PM2.5,,,Not on file,2011/12/12 06:00:00+00
3923,17,Good,PM2.5,,,Not on file,2011/12/11 06:00:00+00
3924,30,Good,PM2.5,,,Not on file,2011/12/10 06:00:00+00
3925,28,Good,PM2.5,,,Not on file,2011/12/09 06:00:00+00
3926,18,Good,PM2.5,,,Not on file,2011/12/08 06:00:00+00
3927,13,Good,PM2.5,,,Not on file,2011/12/07 06:00:00+00
3928,19,Good,PM2.5,,,Not on file,2011/12/06 06:00:00+00
3929,23,Good,PM2.5,,,Not on file,2011/12/05 06:00:00+00
3930,24,Good,PM2.5,,,Not on file,2011/12/04 06:00:00+00
3931,33,Good,PM2.5,,,Not on file,2011/12/03 06:00:00+00
3932,25,Good,PM2.5,,,Not on file,2011/12/02 06:00:00+00
3933,19,Good,PM2.5,,,Not on file,2011/12/01 06:00:00+00
3934,13,Good,PM2.5,,,Not on file,2011/11/30 06:00:00+00
3935,7,Good,PM2.5,,,Not on file,2011/11/29 06:00:00+00
3936,11,Good,PM2.5,,,Not on file,2011/11/28 06:00:00+00
3937,21,Good,PM2.5,,,Not on file,2011/11/27 06:00:00+00
3938,20,Good,PM2.5,,,Not on file,2011/11/26 06:00:00+00
3939,28,Good,PM2.5,,,Not on file,2011/11/25 06:00:00+00
3940,20,Good,PM2.5,,,Not on file,2011/11/24 06:00:00+00
3941,16,Good,PM2.5,,,Not on file,2011/11/23 06:00:00+00
3942,,Not on file,PM2.5,,,Not on file,2011/11/23 06:00:00+00
3943,21,Good,PM2.5,,,Not on file,2011/11/22 06:00:00+00
3944,27,Good,PM2.5,,,Not on file,2011/11/21 06:00:00+00
3945,25,Good,PM2.5,,,Not on file,2011/11/20 06:00:00+00
3946,21,Good,PM2.5,,,Not on file,2011/11/19 06:00:00+00
3947,18,Good,PM2.5,,,Not on file,2011/11/18 06:00:00+00
3948,13,Good,PM2.5,,,Not on file,2011/11/17 06:00:00+00
3949,13,Good,PM2.5,,,Not on file,2011/11/16 06:00:00+00
3950,26,Good,PM2.5,,,Not on file,2011/11/15 06:00:00+00
3951,25,Good,PM2.5,,,Not on file,2011/11/14 06:00:00+00
3952,24,Good,PM2.5,,,Not on file,2011/11/13 06:00:00+00
3953,22,Good,PM2.5,,,Not on file,2011/11/12 06:00:00+00
3954,19,Good,PM2.5,,,Not on file,2011/11/11 06:00:00+00
3955,15,Good,PM2.5,,,Not on file,2011/11/10 06:00:00+00
3956,24,Good,PM2.5,,,Not on file,2011/11/09 06:00:00+00
3957,,Not on file,,,,Not on file,2011/11/09 06:00:00+00
